iter	Logloss
0	0.6930911209
1	0.6930297928
2	0.6929617311
3	0.6929041775
4	0.6928365251
5	0.6927814926
6	0.6927262206
7	0.6926597616
8	0.6926121556
9	0.6925585393
10	0.6924995036
11	0.6924417617
12	0.692369911
13	0.6923033393
14	0.6922424053
15	0.6921874745
16	0.6921280856
17	0.6920664976
18	0.6920076964
19	0.6919661057
20	0.691909806
21	0.6918603713
22	0.6917999697
23	0.6917384357
24	0.6916711823
25	0.6916176922
26	0.6915602839
27	0.6915192507
28	0.6914679815
29	0.6914043245
30	0.6913476536
31	0.691283233
32	0.6912214185
33	0.6911632973
34	0.6911085849
35	0.6910679442
36	0.691002471
37	0.6909431443
38	0.6908836026
39	0.6908191505
40	0.6907680639
41	0.6907109014
42	0.690661833
43	0.6906080836
44	0.6905444037
45	0.6904867381
46	0.6904143697
47	0.6903529166
48	0.6902912138
49	0.6902138292
50	0.6901640711
51	0.6901108604
52	0.6900606103
53	0.6899980464
54	0.6899429705
55	0.6898874266
56	0.6898333682
57	0.6897800951
58	0.6897103488
59	0.6896537363
60	0.6895848858
61	0.6895247712
62	0.6894684637
63	0.68941949
64	0.6893536317
65	0.6892826693
66	0.6892357064
67	0.6891851016
68	0.6891180283
69	0.6890699404
70	0.6890137811
71	0.6889526974
72	0.6888956767
73	0.6888395959
74	0.688786006
75	0.6887248412
76	0.6886576234
77	0.6886110564
78	0.6885502402
79	0.6884991209
80	0.6884415956
81	0.6883790565
82	0.6883107739
83	0.6882560518
84	0.6881950751
85	0.6881409485
86	0.6880878356
87	0.6880497473
88	0.68798559
89	0.6879300377
90	0.6878817148
91	0.6878196538
92	0.6877576036
93	0.687694096
94	0.6876237726
95	0.6875688779
96	0.6875254797
97	0.687465763
98	0.6874096527
99	0.6873609276
100	0.687288279
101	0.6872283233
102	0.6871675732
103	0.6871137081
104	0.6870481385
105	0.6869880752
106	0.6869335277
107	0.6868670089
108	0.6868037605
109	0.6867359687
110	0.6866915332
111	0.6866306252
112	0.6865786135
113	0.6865246383
114	0.6864560008
115	0.6864002208
116	0.686354229
117	0.6862932843
118	0.6862291937
119	0.6861676824
120	0.6861095486
121	0.6860520103
122	0.685993827
123	0.6859494392
124	0.6858731141
125	0.6858197881
126	0.6857657361
127	0.6857081957
128	0.6856527226
129	0.6856095449
130	0.6855597835
131	0.6854916573
132	0.6854493145
133	0.6853866319
134	0.6853282669
135	0.685279046
136	0.685229163
137	0.6851814766
138	0.6851291397
139	0.6850671067
140	0.6850085526
141	0.684965046
142	0.6849033153
143	0.6848416878
144	0.6847797597
145	0.6847195524
146	0.6846713615
147	0.6846161605
148	0.6845680132
149	0.68450293
150	0.6844499878
151	0.6843906961
152	0.6843252989
153	0.6842668616
