iter	Passed	Remaining
0	190	190756
1	201	100586
2	210	70019
3	220	55015
4	230	45859
5	238	39545
6	246	34905
7	253	31494
8	257	28386
9	264	26202
10	271	24415
11	278	22913
12	284	21634
13	291	20540
14	298	19596
15	305	18804
16	312	18078
17	317	17335
18	324	16743
19	331	16260
20	340	15868
21	348	15471
22	355	15120
23	364	14814
24	372	14541
25	381	14279
26	389	14022
27	397	13814
28	411	13783
29	421	13640
30	429	13415
31	437	13230
32	453	13281
33	462	13141
34	471	12990
35	474	12718
36	483	12575
37	490	12428
38	497	12268
39	505	12120
40	511	11975
41	518	11836
42	525	11700
43	532	11576
44	539	11456
45	546	11340
46	554	11235
47	561	11129
48	567	11019
49	574	10911
50	581	10821
51	588	10725
52	595	10637
53	602	10552
54	609	10471
55	615	10383
56	623	10310
57	629	10228
58	636	10154
59	644	10093
60	651	10028
61	665	10069
62	674	10025
63	682	9977
64	692	9965
65	702	9946
66	712	9923
67	720	9871
68	728	9829
69	736	9785
70	744	9737
71	754	9722
72	762	9676
73	770	9637
74	779	9614
75	787	9577
76	796	9546
77	804	9509
78	811	9461
79	818	9413
80	825	9367
81	831	9312
82	838	9263
83	845	9217
84	852	9172
85	859	9139
86	866	9091
87	870	9023
88	877	8977
89	884	8941
90	891	8908
91	898	8871
92	910	8877
93	916	8836
94	924	8808
95	932	8781
96	940	8751
97	947	8717
98	954	8683
99	958	8625
100	965	8594
101	973	8572
102	983	8565
103	992	8553
104	1001	8532
105	1009	8510
106	1017	8495
107	1027	8487
108	1036	8473
109	1045	8458
110	1054	8444
111	1062	8424
112	1071	8412
113	1081	8401
114	1088	8377
115	1096	8355
116	1104	8338
117	1115	8334
118	1122	8313
119	1130	8292
120	1137	8266
121	1144	8235
122	1152	8218
123	1160	8201
124	1172	8209
125	1180	8185
126	1185	8149
127	1192	8120
128	1197	8086
129	1203	8053
130	1212	8046
131	1219	8019
132	1229	8011
133	1235	7985
134	1243	7968
135	1251	7948
136	1259	7932
137	1266	7909
138	1273	7886
139	1279	7861
140	1286	7837
141	1295	7826
142	1303	7811
143	1311	7795
144	1320	7785
145	1328	7772
146	1336	7754
147	1343	7732
148	1351	7716
149	1361	7716
150	1369	7701
151	1377	7687
152	1385	7668
153	1392	7648
154	1399	7630
155	1408	7618
156	1416	7603
157	1424	7593
158	1434	7585
159	1443	7576
160	1450	7560
161	1457	7539
162	1464	7520
163	1471	7499
164	1478	7481
165	1485	7462
166	1492	7442
167	1498	7419
168	1503	7394
169	1513	7389
170	1520	7370
171	1527	7352
172	1534	7336
173	1542	7323
174	1549	7304
175	1557	7290
176	1564	7275
177	1572	7261
178	1580	7248
179	1587	7232
180	1595	7220
181	1603	7208
182	1612	7197
183	1621	7188
184	1627	7171
185	1634	7154
186	1641	7135
187	1648	7121
188	1655	7103
189	1663	7092
190	1670	7075
191	1677	7059
192	1684	7044
193	1692	7030
194	1699	7015
195	1707	7003
196	1715	6993
197	1723	6982
198	1732	6973
199	1741	6965
200	1749	6953
201	1758	6947
202	1767	6940
203	1778	6937
204	1787	6931
205	1795	6922
206	1804	6913
207	1813	6904
208	1820	6890
209	1828	6877
210	1836	6865
211	1844	6856
212	1852	6846
213	1860	6834
214	1868	6821
215	1876	6809
216	1882	6793
217	1888	6774
218	1896	6764
219	1903	6750
220	1910	6732
221	1918	6721
222	1924	6706
223	1931	6692
224	1938	6677
225	1947	6668
226	1954	6656
227	1962	6644
228	1968	6626
229	1973	6608
230	1981	6596
231	1989	6584
232	1998	6578
233	2006	6566
234	2013	6555
235	2020	6540
236	2027	6526
237	2034	6515
238	2042	6504
239	2049	6491
240	2057	6479
241	2064	6465
242	2071	6451
243	2077	6437
244	2085	6425
245	2092	6414
246	2099	6401
247	2107	6389
248	2114	6376
249	2121	6365
250	2130	6358
251	2139	6350
252	2147	6341
253	2157	6335
254	2165	6325
255	2173	6318
256	2181	6306
257	2190	6299
258	2197	6287
259	2205	6278
260	2213	6267
261	2223	6262
262	2237	6269
263	2250	6272
264	2264	6279
265	2280	6292
266	2286	6278
267	2296	6273
268	2303	6260
269	2310	6246
270	2317	6233
271	2337	6256
272	2343	6241
273	2351	6230
274	2358	6218
275	2365	6204
276	2371	6189
277	2380	6181
278	2386	6168
279	2394	6156
280	2401	6143
281	2407	6130
282	2414	6117
283	2422	6107
284	2430	6096
285	2435	6080
286	2442	6067
287	2448	6052
288	2454	6039
289	2464	6034
290	2476	6033
291	2486	6029
292	2496	6022
293	2503	6010
294	2512	6003
295	2521	5996
296	2534	5999
297	2544	5994
298	2557	5995
299	2568	5992
300	2585	6003
301	2596	6002
302	2613	6011
303	2626	6014
304	2639	6014
305	2660	6034
306	2674	6036
307	2682	6025
308	2689	6013
309	2695	6000
310	2702	5986
311	2709	5973
312	2717	5964
313	2724	5951
314	2730	5937
315	2738	5928
